fase_codigo	fase_titulo	dia_titulo	clave	fecha_anio	fecha_prefijo	ministerio_cuando	hecho_id	nombre	descripcion	lugar_antiguo	lat	lon	tipo_suceso	personajes	referencia	libro	capitulo_inicio	capitulo_fin	etiqueta_jw
J1	El principio del ministerio de Jesús		juan_cordero_discipulos	29		otoño	209	Primeros discípulos de Jesús		Valle del Alto Jordán	31.85	35.54	llamamiento	Jesús, Andrés, Pedro, Felipe, Natanael	Jn 1:35-51	JUAN	1	1	Primeros discípulos de Jesús
J1	El principio del ministerio de Jesús		milagro_cana	29		otoño	114	Primer milagro en Caná; visita Capernaum		Caná de Galilea; Capernaum	32.75	35.33	milagro	Jesús, María	Jn 2:1-12	JUAN	2	2	Primer milagro en Caná
J1	El principio del ministerio de Jesús		limpia_templo_pascua_30	30		Pascua	115	Pascua: echa del templo a los mercaderes		Jerusalén	31.78	35.21	limpieza	Jesús	Jn 2:13-25	JUAN	2	2	Jesús limpia el templo
J1	El principio del ministerio de Jesús		nicodemo	30		Pascua	116	Conversación de Jesús con Nicodemo		Jerusalén	31.78	35.21	enseñanza	Jesús, Nicodemo	Jn 3:1-21	JUAN	3	3	Nicodemo
J1	El principio del ministerio de Jesús		juan_bautiza_judea	30		Pascua		Discípulos bautizan; Juan habrá de menguar		Judea; Enón	31.9	35.4	bautismo	Jesús, Juan el Bautista	Jn 3:22-36	JUAN	3	3	Bautismo en Judea
J1	El principio del ministerio de Jesús		juan_encarcelado_galilea	30		Pascua		Juan apresado; Jesús parte para Galilea		Tiberíades	32.88	35.53	arresto	Juan el Bautista, Herodes, Jesús	Mt 4:12; Mr 1:14; Lu 4:14; Jn 4:1-3	MATEO	4	4	Juan encarcelado
J1	El principio del ministerio de Jesús		mujer_samaritana	30		Pascua	117	Jesús enseña a los samaritanos		Sicar, Samaria	32.21	35.28	enseñanza	Jesús, mujer samaritana	Jn 4:4-43	JUAN	4	4	Mujer samaritana
J2	Gran ministerio de Jesús en Galilea		reino_cercado_galilea	30				Anuncia: el reino de los cielos se ha acercado		Galilea	32.8	35.5	enseñanza	Jesús	Mt 4:17; Mr 1:14, 15; Lu 4:14, 15	MATEO	4	4	Anuncia: el reino de los cielos se ha acercado
J2	Gran ministerio de Jesús en Galilea		sana_muchacho_capernaum	30				Sana a un muchacho; lee su comisión; se muda a Capernaum		Nazaret; Caná; Capernaum	32.8	35.5	milagro	Jesús	Mt 4:13-16; Lu 4:16-31; Jn 4:46-54	LUCAS	4	4	Sana a un muchacho; lee su comisión; se muda a Capernaum
J2	Gran ministerio de Jesús en Galilea		llama_pescadores	30				Llama a Simón, Andrés, Santiago y Juan		Mar de Galilea	32.8	35.5	llamamiento	Jesús	Mt 4:18-22; Mr 1:16-20; Lu 5:1-11	MATEO	4	4	Llama a Simón, Andrés, Santiago y Juan
J2	Gran ministerio de Jesús en Galilea		endemoniado_suegra_pedro	30				Sana endemoniado, suegra de Pedro y muchos otros		Capernaum	32.8	35.5	milagro	Jesús	Mt 8:14-17; Mr 1:21-34; Lu 4:31-41	MATEO	8	8	Sana endemoniado, suegra de Pedro y muchos otros
J2	Gran ministerio de Jesús en Galilea		primera_gira_galilea	30				Primera gira de Galilea		Galilea	32.8	35.5	predicación	Jesús	Mt 4:23-25; Mr 1:35-39; Lu 4:42, 43	MATEO	4	4	Primera gira de Galilea
J2	Gran ministerio de Jesús en Galilea		leproso_sanado	30				Leproso sanado		Galilea	32.8	35.5	milagro	Jesús	Mt 8:1-4; Mr 1:40-45; Lu 5:12-16	MATEO	8	8	Leproso sanado
J2	Gran ministerio de Jesús en Galilea		paralitico_capernaum	30				Sana a un paralítico		Capernaum	32.8	35.5	milagro	Jesús	Mt 9:1-8; Mr 2:1-12; Lu 5:17-26	MATEO	9	9	Sana a un paralítico
J2	Gran ministerio de Jesús en Galilea		llama_mateo	30				Llama a Mateo; banquete con recaudadores		Capernaum	32.8	35.5	llamamiento	Jesús	Mt 9:9-17; Mr 2:13-22; Lu 5:27-39	MATEO	9	9	Llama a Mateo; banquete con recaudadores
J2	Gran ministerio de Jesús en Galilea		predica_sinagogas_judea	30				Predica en sinagogas de Judea		Judea	32.8	35.5	predicación	Jesús	Luc. 4:44	LUCAS	4	4	Predica en sinagogas de Judea
J2	Gran ministerio de Jesús en Galilea		pascua_jerusalen_sana	31		Pascua		Pascua: sana a un hombre; reprende a fariseos		Jerusalén	32.8	35.5	milagro	Jesús	Jn 5:1-47	JUAN	5	5	Pascua: sana a un hombre; reprende a fariseos
J2	Gran ministerio de Jesús en Galilea		espigas_sabado	31				Discípulos arrancan espigas en sábado		Camino de Jerusalén	32.8	35.5	enseñanza	Jesús	Mt 12:1-8; Mr 2:23-28; Lu 6:1-5	MATEO	12	12	Discípulos arrancan espigas en sábado
J2	Gran ministerio de Jesús en Galilea		sana_mano_sabado	31				Sana mano en sábado; sana en la orilla del mar		Galilea; mar de Galilea	32.8	35.5	milagro	Jesús	Mt 12:9-21; Mr 3:1-12; Lu 6:6-11	MATEO	12	12	Sana mano en sábado; sana en la orilla del mar
J2	Gran ministerio de Jesús en Galilea		doce_apostoles	31				Los 12 escogidos como apóstoles		Monte cerca de Capernaum	32.8	35.5	llamamiento	Jesús	Mr 3:13-19; Lu 6:12-16	MARCOS	3	3	Los 12 escogidos como apóstoles
J2	Gran ministerio de Jesús en Galilea		sermon_monte	31			118	El Sermón del Monte		Cerca de Capernaum	32.8	35.5	enseñanza	Jesús	Mt 5:1–7:29; Lu 6:17-49	MATEO	5	7	El Sermón del Monte
J2	Gran ministerio de Jesús en Galilea		siervo_oficial	31				Sana al siervo de un oficial		Capernaum	32.8	35.5	milagro	Jesús	Mt 8:5-13; Lu 7:1-10	MATEO	8	8	Sana al siervo de un oficial
J2	Gran ministerio de Jesús en Galilea		nain_viuda	31				Levanta al hijo de una viuda en Naín		Naín	32.8	35.5	milagro	Jesús	Lu 7:11-17	LUCAS	7	7	Levanta al hijo de una viuda en Naín
J2	Gran ministerio de Jesús en Galilea		juan_desde_carcel	31				Juan en prisión envía discípulos a Jesús		Galilea	32.8	35.5	enseñanza	Jesús	Mt 11:2-19; Lu 7:18-35	MATEO	11	11	Juan en prisión envía discípulos a Jesús
J2	Gran ministerio de Jesús en Galilea		ciudades_reconvenidas	31				Ciudades reconvenidas; yugo suave		Galilea	32.8	35.5	enseñanza	Jesús	Mt 11:20-30	MATEO	11	11	Ciudades reconvenidas; yugo suave
J2	Gran ministerio de Jesús en Galilea		pecadora_unge	31				Pecadora unge los pies de Jesús		Galilea	32.8	35.5	enseñanza	Jesús	Lu 7:36-50	LUCAS	7	7	Pecadora unge los pies de Jesús
J2	Gran ministerio de Jesús en Galilea		segunda_gira_galilea	31				Segunda gira de Galilea con los 12		Galilea	32.8	35.5	predicación	Jesús	Lu 8:1-3	LUCAS	8	8	Segunda gira de Galilea con los 12
J2	Gran ministerio de Jesús en Galilea		endemoniado_beelzebub	31				Sana endemoniado; acusado de Beelzebub		Galilea	32.8	35.5	milagro	Jesús	Mt 12:22-37; Mr 3:19-30	MATEO	12	12	Sana endemoniado; acusado de Beelzebub
J2	Gran ministerio de Jesús en Galilea		fariseos_senal	31				Escribas y fariseos buscan una señal		Galilea	32.8	35.5	enseñanza	Jesús	Mt 12:38-45	MATEO	12	12	Escribas y fariseos buscan una señal
J2	Gran ministerio de Jesús en Galilea		parientes_jesus	31				Parientes cercanos de Jesús		Galilea	32.8	35.5	enseñanza	Jesús	Mt 12:46-50; Mr 3:31-35; Lu 8:19-21	MATEO	12	12	Parientes cercanos de Jesús
J2	Gran ministerio de Jesús en Galilea		parabolas_sembrador	31			212	Parábolas: sembrador, mala hierba y otras		Mar de Galilea	32.8	35.5	enseñanza	Jesús	Mt 13:1-53; Mr 4:1-34; Lu 8:4-18	MATEO	13	13	Parábolas: sembrador, mala hierba y otras
J2	Gran ministerio de Jesús en Galilea		calma_tempestad	31			119	Calma tempestad al cruzar el lago		Mar de Galilea	32.8	35.5	milagro	Jesús	Mt 8:18, 23-27; Mr 4:35-41; Lu 8:22-25	MATEO	8	8	Calma tempestad al cruzar el lago
J2	Gran ministerio de Jesús en Galilea		gerasa_endemoniados	31			120	Sana a dos endemoniados; cerdos		Gadara	32.8	35.5	milagro	Jesús	Mt 8:28-34; Mr 5:1-20; Lu 8:26-39	MATEO	8	8	Sana a dos endemoniados; cerdos
J2	Gran ministerio de Jesús en Galilea		jairo_hija	31			121	Resucita a hija de Jairo; sana a mujer con hemorragias		Capernaum	32.8	35.5	milagro	Jesús	Mt 9:18-26; Mr 5:21-43; Lu 8:40-56	MATEO	9	9	Resucita a hija de Jairo; sana a mujer con hemorragias
J2	Gran ministerio de Jesús en Galilea		dos_ciegos_mudo	31			213	Sana a dos ciegos y a un endemoniado mudo		Capernaum	32.8	35.5	milagro	Jesús	Mt 9:27-34	MATEO	9	9	Sana a dos ciegos y a un endemoniado mudo
J2	Gran ministerio de Jesús en Galilea		rechazo_nazaret	31			214	Rechazado de nuevo en Nazaret		Nazaret	32.8	35.5	rechazo	Jesús	Mt 13:54-58; Mr 6:1-6	MATEO	13	13	Rechazado de nuevo en Nazaret
J2	Gran ministerio de Jesús en Galilea		tercera_gira_doce	31			215	Tercera gira de Galilea; envía a los apóstoles		Galilea	32.8	35.5	predicación	Jesús	Mt 9:35–11:1; Mr 6:6-13; Lu 9:1-6	MATEO	9	11	Tercera gira de Galilea; envía a los apóstoles
J2	Gran ministerio de Jesús en Galilea		juan_decapitado	31			216	Juan el Bautizante decapitado		Tiberíades	32.8	35.5	muerte	Jesús	Mt 14:1-12; Mr 6:14-29; Lu 9:7-9	MATEO	14	14	Juan el Bautizante decapitado
J2	Gran ministerio de Jesús en Galilea		alimenta_cinco_mil	32		cerca de la Pascua	122	Alimenta a 5.000		NE mar de Galilea	32.8	35.5	milagro	Jesús	Mt 14:13-21; Mr 6:30-44; Lu 9:10-17; Jn 6:1-13	MATEO	14	14	Alimenta a 5.000
J2	Gran ministerio de Jesús en Galilea		camina_sobre_mar	32			123	Camina sobre el mar; cura en Genesaret		Mar de Galilea	32.8	35.5	milagro	Jesús	Mt 14:22-36; Mr 6:45-56; Jn 6:14-21	MATEO	14	14	Camina sobre el mar; cura en Genesaret
J2	Gran ministerio de Jesús en Galilea		pan_de_vida	32			217	Identifica el pan de la vida		Capernaum	32.8	35.5	enseñanza	Jesús	Jn 6:22-71	JUAN	6	6	Identifica el pan de la vida
J2	Gran ministerio de Jesús en Galilea		tradiciones_humanas	32		después de la Pascua	218	Tradiciones que invalidan la Palabra de Dios		Capernaum	32.8	35.5	enseñanza	Jesús	Mt 15:1-20; Mr 7:1-23; Jn 7:1	MATEO	15	15	Tradiciones que invalidan la Palabra de Dios
J2	Gran ministerio de Jesús en Galilea		sirofenicia_cuatro_mil	32			219	Fenicia, Decápolis; alimenta a 4.000		Fenicia; Decápolis	32.8	35.5	milagro	Jesús	Mt 15:21-38; Mr 7:24–8:9	MATEO	15	15	Fenicia, Decápolis; alimenta a 4.000
J2	Gran ministerio de Jesús en Galilea		senal_jonas	32			220	Saduceos y fariseos buscan una señal		Magadán	32.8	35.5	enseñanza	Jesús	Mt 15:39–16:4; Mr 8:10-12	MATEO	16	16	Saduceos y fariseos buscan una señal
J2	Gran ministerio de Jesús en Galilea		levadura_fariseos	32			221	Levadura de fariseos; sana a un ciego		Betsaida	32.8	35.5	milagro	Jesús	Mt 16:5-12; Mr 8:13-26	MATEO	16	16	Levadura de fariseos; sana a un ciego
J2	Gran ministerio de Jesús en Galilea		llaves_reino	32			222	Jesús el Mesías; predice muerte y resurrección		Cesarea de Filipo	32.8	35.5	enseñanza	Jesús	Mt 16:13-28; Mr 8:27–9:1; Lu 9:18-27	MATEO	16	16	Jesús el Mesías; predice muerte y resurrección
J2	Gran ministerio de Jesús en Galilea		transfiguracion	32			124	Transfiguración		Monte Hermón	32.8	35.5	milagro	Jesús	Mt 17:1-13; Mr 9:2-13; Lu 9:28-36	MATEO	17	17	Transfiguración
J2	Gran ministerio de Jesús en Galilea		muchacho_endemoniado	32			223	Sana endemoniado que discípulos no pudieron sanar		Cesarea de Filipo	32.8	35.5	milagro	Jesús	Mt 17:14-20; Mr 9:14-29; Lu 9:37-43	MATEO	17	17	Sana endemoniado que discípulos no pudieron sanar
J2	Gran ministerio de Jesús en Galilea		predice_muerte_2	32			224	Predice otra vez muerte y resurrección		Galilea	32.8	35.5	profecía	Jesús	Mt 17:22, 23; Mr 9:30-32; Lu 9:43-45	MATEO	17	17	Predice otra vez muerte y resurrección
J2	Gran ministerio de Jesús en Galilea		moneda_pez	32			225	Moneda del pez para impuesto del templo		Capernaum	32.8	35.5	milagro	Jesús	Mt 17:24-27	MATEO	17	17	Moneda del pez para impuesto del templo
J2	Gran ministerio de Jesús en Galilea		mayor_en_reino	32			226	Mayor en el Reino; parábolas de perdón		Capernaum	32.8	35.5	enseñanza	Jesús	Mt 18:1-35; Mr 9:33-50; Lu 9:46-50	MATEO	18	18	Mayor en el Reino; parábolas de perdón
J2	Gran ministerio de Jesús en Galilea		dejar_todo_reino	32			227	Sale hacia fiesta de las Cabañas		Galilea; Samaria	32.8	35.5	viaje	Jesús	Mt 8:19-22; Lu 9:51-62; Jn 7:2-10	LUCAS	9	9	Sale hacia fiesta de las Cabañas
J3	Ministerio posterior de Jesús en Judea		fiesta_tabernaculos	32		fiesta de las Cabañas	228	Enseñanza en la fiesta de las Cabañas		Jerusalén	31.9	35.4	enseñanza	Jesús	Jn 7:11-52	JUAN	7	7	Enseñanza en la fiesta de las Cabañas
J3	Ministerio posterior de Jesús en Judea		luz_mundo_ciego	32			229	Enseñanza después de la fiesta; sana a un ciego		Jerusalén	31.9	35.4	milagro	Jesús	Jn 8:12–9:41	JUAN	8	9	Enseñanza después de la fiesta; sana a un ciego
J3	Ministerio posterior de Jesús en Judea		envio_setenta	32			230	Envía a 70 a predicar		Judea	31.9	35.4	predicación	Jesús	Lu 10:1-24	LUCAS	10	10	Envía a 70 a predicar
J3	Ministerio posterior de Jesús en Judea		marta_maria	32			231	Buen samaritano; Marta y María		Betania	31.9	35.4	enseñanza	Jesús	Lu 10:25-42	LUCAS	10	10	Buen samaritano; Marta y María
J3	Ministerio posterior de Jesús en Judea		oracion_modelo	32			232	Oración modelo; persistencia en pedir		Judea	31.9	35.4	enseñanza	Jesús	Lu 11:1-13	LUCAS	11	11	Oración modelo; persistencia en pedir
J3	Ministerio posterior de Jesús en Judea		demonios_dedo_dios	32			233	Refuta acusación falsa		Judea	31.9	35.4	milagro	Jesús	Lu 11:14-36	LUCAS	11	11	Refuta acusación falsa
J3	Ministerio posterior de Jesús en Judea		fariseo_hipocresia	32			234	Denuncia a los hipócritas		Judea	31.9	35.4	enseñanza	Jesús	Lu 11:37-54	LUCAS	11	11	Denuncia a los hipócritas
J3	Ministerio posterior de Jesús en Judea		rico_insensato	32			235	Cuidado de Dios; mayordomo fiel		Judea	31.9	35.4	enseñanza	Jesús	Lu 12:1-59	LUCAS	12	12	Cuidado de Dios; mayordomo fiel
J3	Ministerio posterior de Jesús en Judea		mujer_encorvada	32			236	Sana a mujer inválida en sábado		Judea	31.9	35.4	milagro	Jesús	Lu 13:1-21	LUCAS	13	13	Sana a mujer inválida en sábado
J3	Ministerio posterior de Jesús en Judea		pastor_excelente	32		fiesta de la Dedicación	237	Fiesta de la Dedicación; Pastor Excelente		Jerusalén	31.9	35.4	enseñanza	Jesús	Jn 10:1-39	JUAN	10	10	Fiesta de la Dedicación; Pastor Excelente
J4	Ministerio posterior al este del Jordán		betania_jordan	32			238	Muchos cifran su fe en Jesús		Más allá del Jordán	31.86	35.44	predicación	Jesús	Jn 10:40-42	JUAN	10	10	Muchos cifran su fe en Jesús
J4	Ministerio posterior al este del Jordán		ensena_perea_camino	32			239	Enseña avanzando hacia Jerusalén		Perea	31.86	35.44	enseñanza	Jesús	Lu 13:22	LUCAS	13	13	Enseña avanzando hacia Jerusalén
J4	Ministerio posterior al este del Jordán		entrada_reino_herodes	32				Entrada al Reino; amenaza de Herodes		Perea	31.86	35.44	enseñanza	Jesús	Lu 13:23-35	LUCAS	13	13	Entrada al Reino; amenaza de Herodes
J4	Ministerio posterior al este del Jordán		humildad_cena	32				Humildad; parábola de la cena magnífica		Perea	31.86	35.44	enseñanza	Jesús	Lu 14:1-24	LUCAS	14	14	Humildad; parábola de la cena magnífica
J4	Ministerio posterior al este del Jordán		costo_discipulado	32				Calcular el costo del discipulado		Perea	31.86	35.44	enseñanza	Jesús	Lu 14:25-35	LUCAS	14	14	Calcular el costo del discipulado
J4	Ministerio posterior al este del Jordán		parabolas_perea_15	32			240	Oveja perdida, moneda, hijo pródigo		Perea	31.86	35.44	enseñanza	Jesús	Lu 15:1-32	LUCAS	15	15	Oveja perdida, moneda, hijo pródigo
J4	Ministerio posterior al este del Jordán		mayordomo_lazaro_rico	32				Mayordomo injusto; hombre rico y Lázaro		Perea	31.86	35.44	enseñanza	Jesús	Lu 16:1-31	LUCAS	16	16	Mayordomo injusto; hombre rico y Lázaro
J4	Ministerio posterior al este del Jordán		perdon_fe_esclavos	32				Perdón y fe		Perea	31.86	35.44	enseñanza	Jesús	Lu 17:1-10	LUCAS	17	17	Perdón y fe
J4	Ministerio posterior al este del Jordán		lazaro_resucitado	32			125	Levanta a Lázaro de entre los muertos		Betania	31.86	35.44	milagro	Jesús	Jn 11:1-46	JUAN	11	11	Levanta a Lázaro de entre los muertos
J4	Ministerio posterior al este del Jordán		traman_matar_jesus	32			241	Consejo contra Jesús; se retira		Jerusalén; Efraín	31.86	35.44	conspiración	Jesús	Jn 11:47-54	JUAN	11	11	Consejo contra Jesús; se retira
J4	Ministerio posterior al este del Jordán		diez_leprosos	32			242	Sana en Samaria y Galilea		Samaria; Galilea	31.86	35.44	milagro	Jesús	Lu 17:11-37	LUCAS	17	17	Sana en Samaria y Galilea
J4	Ministerio posterior al este del Jordán		viuda_fariseo	32			243	Viuda insistente; fariseo y recaudador		Samaria o Galilea	31.86	35.44	enseñanza	Jesús	Lu 18:1-14	LUCAS	18	18	Viuda insistente; fariseo y recaudador
J4	Ministerio posterior al este del Jordán		matrimonio_ninos	32			244	Enseña sobre divorcio; bendice niños		Perea	31.86	35.44	enseñanza	Jesús	Mt 19:1-15; Mr 10:1-16; Lu 18:15-17	MATEO	19	19	Enseña sobre divorcio; bendice niños
J4	Ministerio posterior al este del Jordán		hombre_rico_vina	32			245	Joven rico; obreros en la viña		Perea	31.86	35.44	enseñanza	Jesús	Mt 19:16–20:16; Mr 10:17-31; Lu 18:18-30	MATEO	19	20	Joven rico; obreros en la viña
J4	Ministerio posterior al este del Jordán		predice_muerte_3	32			246	Tercera predicción de muerte y resurrección		Perea	31.86	35.44	profecía	Jesús	Mt 20:17-19; Mr 10:32-34; Lu 18:31-34	MATEO	20	20	Tercera predicción de muerte y resurrección
J4	Ministerio posterior al este del Jordán		santiago_juan_peticion	32			247	Puestos en el Reino para Santiago y Juan		Perea	31.86	35.44	enseñanza	Jesús	Mt 20:20-28; Mr 10:35-45	MATEO	20	20	Puestos en el Reino para Santiago y Juan
J4	Ministerio posterior al este del Jordán		zaqueo_jerico	32			248	Ciegos en Jericó; Zaqueo; diez minas		Jericó	31.86	35.44	milagro	Jesús	Mt 20:29-34; Mr 10:46-52; Lu 18:35–19:28	LUCAS	18	19	Ciegos en Jericó; Zaqueo; diez minas
B12	Ministerio final de Jesús en Jerusalén	8 de nisán (sábado)	llegada_betania_8nis	33		8 de nisán (sábado)	249	Llega a Betania seis días antes de la Pascua		Jerusalén	31.78	35.21	suceso	Jesús	Jn 11:55–12:1				Llega a Betania seis días antes de la Pascua
B12	Ministerio final de Jesús en Jerusalén	9 de nisán	cena_simon_ungimiento	33		9 de nisán	250	Banquete en casa de Simón; María unge a Jesús		Jerusalén	31.78	35.21	suceso	Jesús	Mt 26:6-13; Mr 14:3-9; Jn 12:2-11				Banquete en casa de Simón; María unge a Jesús
B12	Ministerio final de Jesús en Jerusalén	9 de nisán	entrada_triunfal	33		9 de nisán	126	Entrada triunfal en Jerusalén		Jerusalén	31.78	35.21	suceso	Jesús	Mt 21:1-11; Mr 11:1-11; Lu 19:29-44; Jn 12:12-19				Entrada triunfal en Jerusalén
B12	Ministerio final de Jesús en Jerusalén	10 de nisán	maldice_higuera	33		10 de nisán		Maldice higuera sin fruto; limpia el templo		Jerusalén	31.78	35.21	suceso	Jesús	Mt 21:18, 19, 12, 13; Mr 11:12-17; Lu 19:45, 46				Maldice higuera sin fruto; limpia el templo
B12	Ministerio final de Jesús en Jerusalén	10 de nisán	sacerdotes_traman	33		10 de nisán		Sacerdotes traman destruir a Jesús		Jerusalén	31.78	35.21	suceso	Jesús	Mr 11:18, 19; Lu 19:47, 48				Sacerdotes traman destruir a Jesús
B12	Ministerio final de Jesús en Jerusalén	10 de nisán	discusion_griegos	33		10 de nisán	254	Discusión con griegos; incredulidad		Jerusalén	31.78	35.21	suceso	Jesús	Jn 12:20-50				Discusión con griegos; incredulidad
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	higuera_marchita	33		11 de nisán		Hallada marchita la higuera		Jerusalén	31.78	35.21	suceso	Jesús	Mt 21:19-22; Mr 11:20-25				Hallada marchita la higuera
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	autoridad_templo	33		11 de nisán		Autoridad de Cristo en tela de juicio		Jerusalén	31.78	35.21	suceso	Jesús	Mt 21:23-32; Mr 11:27-33; Lu 20:1-8				Autoridad de Cristo en tela de juicio
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	cultivadores_inicuos	33		11 de nisán		Cultivadores inicuos; banquete de bodas		Jerusalén	31.78	35.21	suceso	Jesús	Mt 21:33–22:14; Mr 12:1-12; Lu 20:9-19				Cultivadores inicuos; banquete de bodas
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	preguntas_capciosas	33		11 de nisán		Preguntas sobre impuesto, resurrección, mandamiento		Jerusalén	31.78	35.21	suceso	Jesús	Mt 22:15-40; Mr 12:13-34; Lu 20:20-40				Preguntas sobre impuesto, resurrección, mandamiento
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	mesias_descendencia	33		11 de nisán		Pregunta sobre descendencia del Mesías		Jerusalén	31.78	35.21	suceso	Jesús	Mt 22:41-46; Mr 12:35-37; Lu 20:41-44				Pregunta sobre descendencia del Mesías
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	ayes_fariseos	33		11 de nisán	255	Denuncia contra escribas y fariseos		Jerusalén	31.78	35.21	suceso	Jesús	Mt 23:1-39; Mr 12:38-40; Lu 20:45-47				Denuncia contra escribas y fariseos
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	viuda_monedas	33		11 de nisán		Monedas de poco valor de la viuda		Jerusalén	31.78	35.21	suceso	Jesús	Mr 12:41-44; Lu 21:1-4				Monedas de poco valor de la viuda
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	profecia_monte_olivos	33		11 de nisán	256	Predicción de la caída de Jerusalén		Jerusalén	31.78	35.21	suceso	Jesús	Mt 24:1-51; Mr 13:1-37; Lu 21:5-38				Predicción de la caída de Jerusalén
B12	Ministerio final de Jesús en Jerusalén	11 de nisán	parabolas_virgenes	33		11 de nisán		Diez vírgenes, talentos, ovejas y cabras		Jerusalén	31.78	35.21	suceso	Jesús	Mt 25:1-46				Diez vírgenes, talentos, ovejas y cabras
B12	Ministerio final de Jesús en Jerusalén	12 de nisán	traman_matarse	33		12 de nisán	257	Líderes traman matar a Jesús		Jerusalén	31.78	35.21	suceso	Jesús	Mt 26:1-5; Mr 14:1, 2; Lu 22:1, 2				Líderes traman matar a Jesús
B12	Ministerio final de Jesús en Jerusalén	12 de nisán	judas_traicion	33		12 de nisán		Judas regatea para traicionar a Jesús		Jerusalén	31.78	35.21	suceso	Jesús	Mt 26:14-16; Mr 14:10, 11; Lu 22:3-6				Judas regatea para traicionar a Jesús
B12	Ministerio final de Jesús en Jerusalén	13 de nisán (jueves tarde)	preparativos_pascua_13nis	33		13 de nisán (jueves tarde)	258	Arreglos para la Pascua		Jerusalén	31.78	35.21	suceso	Jesús	Mt 26:17-19; Mr 14:12-16; Lu 22:7-13				Arreglos para la Pascua
