clave	prefijo	anio	nombre	referencia	era	tipo	personajes	match_id
pacto_abrhan_cruzada_eufrates		-1943	Abrahán cruza el Éufrates hacia Canaán; se valida pacto con Abrahán; empieza el período de 430 años hasta el pacto de la Ley	Gén. 12:4, 7; Éxo. 12:40; Gál. 3:17	PATRIARCAS	pacto	Abrahán	7
lot_rescatado_melquisedec	a	-1933	Lot rescatado; Abrahán visita a Melquisedec	Gén. 14:16; Gé 14:18; Gé 16:3	PATRIARCAS	batalla	Abrahán, Lot, Melquisedec	8
nacimiento_ismael		-1932	Nace Ismael	Gén. 16:15; Gé 16:16	PATRIARCAS	nacimiento	Ismael, Abrahán	
pacto_circuncision		-1919	Se hace el pacto de la circuncisión	Gén. 17:1; Gé 17:10; Gé 17:24	PATRIARCAS	pacto	Abrahán	9
juicio_sodoma_gomorra		-1919	Juicio de Sodoma y Gomorra	Gén. 19:24	PATRIARCAS	juicio divino	Lot, Abrahán	10
nacimiento_isaac		-1918	Nace Isaac, el verdadero heredero; empiezan los 'unos 450 años'	Gén. 21:2, 5; Hech. 13:17-20	PATRIARCAS	nacimiento	Isaac, Abrahán, Sara	275
isaac_destetado_ismael_despedido		-1913	Isaac destetado; Ismael despedido; principio de 400 años de aflicción	Gén. 21:8; Gé 15:13; Hech. 7:6	PATRIARCAS	suceso	Isaac, Ismael	
muerte_sara		-1881	Muere Sara	Gén. 17:17; Gé 23:1	PATRIARCAS	muerte	Sara	203
matrimonio_isaac_rebeca		-1878	Se casan Isaac y Rebeca	Gén. 25:20	PATRIARCAS	matrimonio	Isaac, Rebeca	12
muerte_sem		-1868	Muere Sem	Gén. 11:11	PATRIARCAS	muerte	Sem	204
nacimiento_esau_jacob		-1858	Nacen Esaú y Jacob	Gén. 25:26	PATRIARCAS	nacimiento	Esaú, Jacob	276
muerte_abrhan		-1843	Muere Abrahán	Gén. 25:7	PATRIARCAS	muerte	Abrahán	
esau_primeras_esposas		-1818	Esaú se casa con sus primeras dos esposas	Gén. 26:34	PATRIARCAS	matrimonio	Esaú	
muerte_ismael		-1795	Muere Ismael	Gén. 25:17	PATRIARCAS	muerte	Ismael	
jacob_huye_betel		-1781	Jacob huye a Harán; su visión en Betel	Gén. 28:2; Gé 28:13; Gé 28:19	PATRIARCAS	sueño profético	Jacob	14
jacob_casamiento_lea_raquel		-1774	Jacob se casa con Lea y Raquel	Gén. 29:23-30	PATRIARCAS	matrimonio	Jacob, Lea, Raquel	
nacimiento_jose		-1767	Nace José	Gén. 30:23; Gé 30:24	PATRIARCAS	nacimiento	José	
jacob_regresa_canaan		-1761	Jacob regresa a Canaán desde Harán	Gén. 31:18; Gé 31:41	PATRIARCAS	viaje	Jacob	
jacob_lucha_israel	c	-1761	Jacob lucha con ángel; recibe nombre de Israel	Gén. 32:24-28	PATRIARCAS	bendición	Jacob	
jose_vendido_esclavo		-1750	Hermanos de José lo venden como esclavo	Gén. 37:2, 28	PATRIARCAS/EGIPTO	venta/esclavitud	José, Jacob	15
muerte_isaac		-1738	Muere Isaac	Gén. 35:28; Gé 35:29	PATRIARCAS	muerte	Isaac	
jose_primer_ministro		-1737	José hecho primer ministro de Egipto	Gén. 41:40; Gé 41:46	EGIPTO	elevación	José, Faraón	16
jacob_familia_egipto		-1728	Jacob entra con toda su familia en Egipto	Gén. 45:6; Gé 46:26; Gé 47:9	EGIPTO	migración	Jacob, José	205
muerte_jacob		-1711	Muere Jacob	Gén. 47:28	EGIPTO	muerte	Jacob	
muerte_jose		-1657	Muere José	Gén. 50:26	EGIPTO	muerte	José	206
job_puesto_prueba	a	-1613	Job puesto a prueba	Job 1:8; Job 42:16	PATRIARCAS	prueba de fe	Job	
egipto_primera_potencia	d	-1600	Egipto alcanza prominencia como primera potencia mundial	Éxo. 1:8	EGIPTO	contexto	Egipto	
nacimiento_moises		-1593	Nace Moisés	Éxo. 2:2, 10	EGIPTO	nacimiento	Moisés	18
moises_huye_madian		-1553	Moisés se ofrece como libertador; huye a Madián	Éxo. 2:11; Éx 2:14; Éx 2:15; Hech. 7:23	EGIPTO/EXODO	huida	Moisés	
moises_arbusto_ardiente	c	-1514	Moisés frente al arbusto ardiente	Éxo. 3:2	EGIPTO/EXODO	llamamiento	Moisés, Jehová	19
pascua_salida_egipto		-1513	Pascua; israelitas salen de Egipto; librados en el mar Rojo; el poder de Egipto sacudido; fin del período de 400 años de aflicción	Éxo. 12:12; 14:27, 29, 30; Gén. 15:13, 14	EGIPTO/EXODO	fiesta religiosa	Moisés, Israel	21
pacto_ley_sinai		-1513	Pacto de la Ley hecho en el monte Sinaí (Horeb)	Éxo. 24:6-8	EXODO/LEY	ley	Moisés, Israel	24
fin_430_anos_pacto_abrhan		-1513	Termina el período de 430 años desde la validación del pacto con Abrahán	Gál. 3:17; Éxo. 12:40	EXODO/LEY	pacto	Moisés, Abrahán	
moises_compila_genesis		-1513	Moisés compila Génesis en el desierto; empieza a escribirse la Biblia	Juan 5:46	EXODO/LEY	redacción	Moisés	339
tabernaculo_completado		-1512	Se completa la construcción del tabernáculo	Éxo. 40:17	EXODO/LEY	construcción	Moisés, Bezaleel	26
sacerdocio_aaronico		-1512	Se instala el sacerdocio aarónico	Lev. 8:34-36	EXODO/LEY	sacerdocio	Aarón, Moisés	27
moises_completa_exodo_levitico		-1512	Moisés completa Éxodo y Levítico	Lev. 27:34; Núm. 1:1	EXODO/LEY	redacción	Moisés	399
moises_completa_job	c	-1473	Moisés completa el libro de Job	Job 42:16, 17	DESIERTO	redacción	Moisés, Job	343
moises_completa_numeros		-1473	Moisés completa Números en las llanuras de Moab	Núm. 35:1; Núm. 36:13	DESIERTO	redacción	Moisés	398
pacto_moab		-1473	Pacto con Israel en Moab	Deu. 29:1	DESIERTO	pacto	Moisés, Israel	
moises_escribe_deuteronomio		-1473	Moisés escribe Deuteronomio	Deu. 1:1, 3	DESIERTO	redacción	Moisés	31
muerte_moises		-1473	Muere Moisés en el monte Nebo en Moab	Deu. 34:1; Deu. 34:5, 7	DESIERTO	muerte	Moisés	32
israel_entra_canaan		-1473	Israel entra en Canaán bajo Josué	Jos. 4:19	DESIERTO	conquista	Josué, Israel	34
conquista_general_canaan		-1467	"Se completa conquista general de la tierra; fin de los ""unos 450 años"" de Hechos 13:17-20"	Jos. 11:23; 14:7, 10-15	JUECES	conquista	Josué, Israel	208
libro_josue_completado	c	-1450	Se completa el libro de Josué	Jos. 1:1; Jos 24:26	JUECES	redacción	Josué	344
muerte_josue	c	-1450	Muere Josué	Jos. 24:29	JUECES	muerte	Josué	278
samuel_unge_saul		-1117	Samuel unge rey de Israel a Saúl	1 Sam. 10:24; Hech. 13:21	MONARQUÍA	unción	Samuel, Saúl	47
nacimiento_david		-1107	Nace David en Belén	1 Sam. 16:1	MONARQUÍA	nacimiento	David	
samuel_completa_jueces	c	-1100	Samuel completa el libro de Jueces	Jue. 21:25	JUECES	redacción	Samuel	396
samuel_completa_rut	c	-1090	Samuel completa el libro de Rut	Rut 4:18-22	JUECES	redacción	Samuel	347
libro_1_samuel_completado	c	-1078	Se completa el libro de 1 Samuel	1 Sam. 31:6	MONARQUÍA	redacción	Samuel	348
david_trono_juda		-1077	David sube al trono de Judá en Hebrón	2 Sam. 2:4	MONARQUÍA	reinado	David	54
david_trono_israel		-1070	David sube al trono de todo Israel; hace de Jerusalén la capital	2 Sam. 5:3-7	MONARQUÍA	reinado	David	210
arca_pacto_reino_david	d	-1070	El Arca traída a Jerusalén; se hace el pacto del reino con David	2 Sam. 6:15; 2Sa 7:12-16	MONARQUÍA	pacto	David	57
gad_natan_2_samuel	c	-1040	Gad y Natán completan 2 Samuel	2 Sam. 24:18	MONARQUÍA	redacción	Gad, Natán	352
salomon_sucede_david		-1037	Salomón sucede a David como rey de Israel	1 Rey. 1:39; 1Re 2:12	MONARQUÍA	reinado	Salomón, David	211
construccion_templo_salomon		-1034	Comienza la construcción del templo de Salomón	1 Rey. 6:1	MONARQUÍA	construcción	Salomón	61
templo_completado		-1027	Se completa el templo en Jerusalén	1 Rey. 6:38	MONARQUÍA	construcción	Salomón	62
salomon_cantar_cantares	c	-1020	Salomón completa El Cantar de los Cantares	Cant. de Can. 1:1	MONARQUÍA	redacción	Salomón	353
salomon_eclesiastes	a	-1000	Salomón completa el libro de Eclesiastés	Ecl. 1:1	MONARQUÍA	redacción	Salomón	354
rehoboam_sucede_salomon		-997	Rehoboam sucede a Salomón; el reino se divide; Jeroboán empieza a gobernar como rey de Israel	1 Rey. 11:43; 12:19, 20	REINO DIVIDIDO	reinado	Rehoboam, Jeroboán	82
sisaq_invade_juda		-993	Sisaq invade a Judá y se lleva tesoros del templo	1 Rey. 14:25; 1Re 14:26	REINO DIVIDIDO	invasión	Sisaq, Rehoboam	
abiyam_sucede_rehoboam		-980	Abiyam (Abías) sucede a Rehoboam como rey de Judá	1 Rey. 15:1; 1Re 15:2	REINO DIVIDIDO	reinado	Abiyam	279
asa_sucede_abiyam		-977	Asá sucede a Abiyam como rey de Judá	1 Rey. 15:9; 1Re 15:10	REINO DIVIDIDO	reinado	Asá	280
nadab_sucede_jeroboan	c	-976	Nadab sucede a Jeroboán como rey de Israel	1 Rey. 14:20	REINO DIVIDIDO	reinado	Nadab	289
basa_sucede_nadab	c	-975	Baasá sucede a Nadab como rey de Israel	1 Rey. 15:33	REINO DIVIDIDO	reinado	Baasá	290
elah_sucede_basa	c	-952	Elah sucede a Baasá como rey de Israel	1 Rey. 16:8	REINO DIVIDIDO	reinado	Elah	291
zimri_sucede_elah	c	-951	Zimrí sucede a Elah como rey de Israel	1 Rey. 16:15	REINO DIVIDIDO	reinado	Zimrí	292
omri_tibni_suceden_zimri	c	-951	Omrí y Tibní suceden a Zimrí como reyes de Israel	1 Rey. 16:21	REINO DIVIDIDO	reinado	Omrí, Tibní	293
omri_gobierna_solo	c	-947	Omrí gobierna solo como rey de Israel	1 Rey. 16:22; 1Re 16:23	REINO DIVIDIDO	reinado	Omrí	294
acab_sucede_omri	c	-940	Acab sucede a Omrí como rey de Israel	1 Rey. 16:29	REINO DIVIDIDO	reinado	Acab	295
jehosafat_sucede_asa		-936	Jehosafat sucede a Asá como rey de Judá	1 Rey. 22:41; 1Re 22:42	REINO DIVIDIDO	reinado	Jehosafat	281
ocozias_israel_sucede_acab	c	-919	Ocozías sucede a Acab como único rey de Israel	1 Rey. 22:51; 1Re 22:52	REINO DIVIDIDO	reinado	Ocozías	296
jehoram_israel_sucede_ocozias	c	-917	Jehoram de Israel sucede a Ocozías como único rey	2 Rey. 3:1	REINO DIVIDIDO	reinado	Jehoram	297
jehoram_juda_rey		-913	Jehoram de Judá 'llega a ser rey', con Jehosafat	2 Rey. 8:16; 2Re 8:17	REINO DIVIDIDO	reinado	Jehoram	282
ocozias_juda_sucede_jehoram	c	-906	Ocozías sucede a Jehoram como rey de Judá	2 Rey. 8:25; 2Re 8:26	REINO DIVIDIDO	reinado	Ocozías	283
atalia_usurpa_trono	c	-905	La reina Atalía usurpa el trono de Judá	2 Rey. 11:1-3	REINO DIVIDIDO	reinado	Atalía	284
jehu_sucede_jehoram_israel	c	-905	Jehú sucede a Jehoram como rey de Israel	2 Rey. 9:24; 2Re 9:27; 2Re 10:36	REINO DIVIDIDO	reinado	Jehú	298
jehoas_juda_sucede_ocozias		-898	Jehoás sucede a Ocozías como rey de Judá	2 Rey. 12:1	REINO DIVIDIDO	reinado	Jehoás	285
jehoacaz_sucede_jehu		-876	Jehoacaz sucede a Jehú como rey de Israel	2 Rey. 13:1	REINO DIVIDIDO	reinado	Jehoacaz	299
jehoas_israel_sucede_jehoacaz	c	-859	Jehoás sucede a Jehoacaz como único rey de Israel	2 Rey. 13:10	REINO DIVIDIDO	reinado	Jehoás	301
amasias_sucede_jehoas_juda		-858	Amasías sucede a Jehoás como rey de Judá	2 Rey. 14:1; 2Re 14:2	REINO DIVIDIDO	reinado	Amasías	286
jeroboan2_sucede_jehoas_israel	c	-844	Jeroboán II sucede a Jehoás como rey de Israel	2 Rey. 14:23	REINO DIVIDIDO	reinado	Jeroboán II	302
jonas_completa_libro	c	-844	Jonás completa el libro de Jonás	Jon. 1:1, 2	REINO DIVIDIDO	redacción	Jonás	107
uzias_sucede_amasias		-829	Uzías (Azarías) sucede a Amasías como rey de Judá	2 Rey. 15:1; 2Re 15:2	REINO DIVIDIDO	reinado	Uzías	287
joel_escritura	c	-820	Probable escritura del libro de Joel	Joel 1:1	REINO DIVIDIDO	redacción	Joel	182
amos_completa_libro	c	-804	Amós completa el libro de Amós	Amós 1:1	REINO DIVIDIDO	redacción	Amós	172
zacarias_reina_6_meses	c	-792	Zacarías reina (por 6 meses) sobre Israel	2 Rey. 15:8	REINO DIVIDIDO	reinado	Zacarías	312
salum_sucede_zacarias	c	-791	Salum sucede a Zacarías como rey de Israel	2 Rey. 15:13; 2Re 15:17	REINO DIVIDIDO	reinado	Salum	313
menahem_sucede_salum	c	-791	Menahem sucede a Salum como rey de Israel	2 Rey. 15:17	REINO DIVIDIDO	reinado	Menahem	314
pecahias_sucede_menahem	c	-780	Peqahías sucede a Menahem como rey de Israel	2 Rey. 15:23	REINO DIVIDIDO	reinado	Peqahías	315
pecah_sucede_pecahias	c	-778	Péqah sucede a Peqahías como rey de Israel	2 Rey. 15:27	REINO DIVIDIDO	reinado	Péqah	316
isaias_empieza_profetizar	c	-778	Isaías empieza a profetizar	Isa. 1:1; 6:1	REINO DIVIDIDO	profecía	Isaías	
jotan_sucede_uzias		-777	Jotán sucede a Uzías (Azarías) como rey de Judá	2 Rey. 15:32; 2Re 15:33	REINO DIVIDIDO	reinado	Jotán	303
acaz_sucede_jotan	c	-761	Acaz sucede a Jotán como rey de Judá	2 Rey. 16:1; 2Re 16:2	REINO DIVIDIDO	reinado	Acaz	304
hosea_reina_israel	c	-758	Hosea 'empieza a reinar' en Israel	2 Rey. 15:30	REINO DIVIDIDO	reinado	Hosea	317
ezequias_sucede_acaz		-745	Ezequías sucede a Acaz como rey de Judá	2 Rey. 18:1, 2	REINO DIVIDIDO	reinado	Ezequías	305
oseas_completa_libro	d	-745	Oseas completa el libro de Oseas	Ose. 1:1	REINO DIVIDIDO	redacción	Oseas	188
asiria_toma_samaria		-740	Asiria subyuga a Israel, toma a Samaria	2 Rey. 17:6; 2Re 17:13, 18	REINO DIVIDIDO	conquista	Asiria, Israel	74
senaquerib_invade_juda		-732	Senaquerib invade a Judá	2 Rey. 18:13	REINO DIVIDIDO	invasión	Senaquerib, Ezequías	
isaias_completa_libro	d	-732	Isaías completa el libro de Isaías	Isa. 1:1	REINO DIVIDIDO	redacción	Isaías	104
miqueas_completa_libro	a	-717	Miqueas completa el libro de Miqueas	Miq. 1:1	REINO DIVIDIDO	redacción	Miqueas	186
proverbios_compilacion	c	-717	Se completa la compilación de Proverbios	Pro. 25:1	REINO DIVIDIDO	redacción	Salomón; Agur; Lemuel	357
manasas_sucede_ezequias		-716	Manasés sucede a Ezequías como rey de Judá	2 Rey. 21:1	REINO DIVIDIDO	reinado	Manasés	306
amon_sucede_manasas		-661	Amón sucede a Manasés como rey de Judá	2 Rey. 21:19	REINO DIVIDIDO	reinado	Amón	307
josias_sucede_amon		-659	Josías sucede a Amón como rey de Judá	2 Rey. 22:1	REINO DIVIDIDO	reinado	Josías	308
sofonias_completa_libro	a	-648	Sofonías completa el libro de Sofonías	Sof. 1:1	REINO DIVIDIDO	redacción	Sofonías	191
jeremias_comisionado		-647	Jeremías comisionado como profeta	Jer. 1:1, 2; Jer 1:9, 10	REINO DIVIDIDO	profecía	Jeremías	105
nahum_completa_libro	a	-632	Nahúm completa el libro de Nahúm	Nah. 1:1	REINO DIVIDIDO	redacción	Nahúm	187
ninive_cae		-632	Nínive cae ante los caldeos y los medos	Nah. 3:7	REINO DIVIDIDO	conquista	Caldeos, Medos	
babilonia_tercera_potencia		-632	Babilonia ahora encaminada a ser la tercera potencia mundial		REINO DIVIDIDO	contexto	Babilonia	
jehoacaz_sucede_josias		-628	Jehoacaz, sucesor de Josías, reina en Judá	2 Rey. 23:31	REINO DIVIDIDO	reinado	Jehoacaz	
jehoiaquim_sucede_jehoacaz		-628	Jehoiaquim sucede a Jehoacaz como rey de Judá	2 Rey. 23:36	REINO DIVIDIDO	reinado	Jehoiaquim	309
habacuc_completa_libro	c	-628	Habacuc completa el libro de Habacuc	Hab. 1:1	REINO DIVIDIDO	redacción	Habacuc	179
nabucodonosor_subes_trono		-625	Nabucodonosor (II) sube al trono de Babilonia	Jer. 25:1	EXILIO	reinado	Nabucodonosor	
nabucodonosor_jehoiaquim_tributario		-620	Nabucodonosor hace rey tributario a Jehoiaquim	2 Rey. 24:1	EXILIO	vasallaje	Nabucodonosor, Jehoiaquim	
joakin_sube_trono		-618	Joaquín sube al trono después de Jehoiaquim en Judá	2 Rey. 24:6, 8	EXILIO	reinado	Joaquín	310
primeros_cautivos_babilonia		-617	Nabucodonosor se lleva a los primeros cautivos judíos a Babilonia; se hace rey de Judá a Sedequías	Dan. 1:1-4; 2 Rey. 24:12-18	EXILIO	deportación	Nabucodonosor, Daniel, Sedequías	97
ezequiel_empieza_profetizar		-613	Ezequiel empieza a profetizar	Eze. 1:1-3	EXILIO	profecía	Ezequiel	
sitio_jerusalen_tercera_vez		-609	Nabucodonosor viene contra Judá por tercera vez; empieza el sitio de Jerusalén	2 Rey. 25:1; 2Re 25:2	EXILIO	asedio	Nabucodonosor	
templo_arrasado_607		-607	Quinto mes (Ab), el templo es arrasado y Jerusalén destruida	2 Rey. 25:8-10; Jer. 52:12-14	EXILIO	destrucción	Nabucodonosor	77
judios_abandonan_juda		-607	Séptimo mes, los judíos abandonan a Judá; empieza la cuenta de 'los tiempos señalados de las naciones'	2 Rey. 25:25; 2Re 25:26; Luc. 21:24	EXILIO	exilio	Judá	
jeremias_lamentaciones		-607	Jeremías escribe Lamentaciones	Introd. a Lam., LXX	EXILIO	redacción	Jeremías	184
abdias_escribe_libro	c	-607	Abdías escribe el libro de Abdías	Abd. 1	EXILIO	redacción	Abdías	171
ezequiel_completa_libro	c	-591	Ezequiel completa el libro de Ezequiel	Eze. 40:1; Eze 29:17	EXILIO	redacción	Ezequiel	106
libros_reyes_jeremias_completados		-580	Se completan los libros de 1 y 2 Reyes y Jeremías	Jer. 52:31; 2 Rey. 25:27	EXILIO	redacción	Jeremías	365
babilonia_cae_medopersia		-539	Babilonia cae ante los medos y los persas; Medopersia llega a ser la cuarta potencia mundial	Dan. 5:30, 31	POSTEXILIO	conquista	Ciro, Belsasar	157
decreto_ciro_retorno		-537	Entra en vigor el decreto de Ciro el Persa que permite que los judíos regresen a Jerusalén; termina la desolación de 70 años	2 Cró. 36:22; 2Cr 36:23; Jer. 25:12; Jer 29:10	POSTEXILIO	decreto	Ciro	85
daniel_completa_libro	c	-536	Daniel completa el libro de Daniel	Dan. 10:1	POSTEXILIO	redacción	Daniel	103
zorobabel_fundamento_templo		-536	Zorobabel coloca el fundamento del templo	Esd. 3:8-10	POSTEXILIO	construcción	Zorobabel	
prohibicion_edificar_templo		-522	Se proscribe la obra de edificar el templo	Esd. 4:23, 24	POSTEXILIO	prohibición	Persia	
ageo_completa_libro		-520	Ageo completa el libro de Ageo	Hag. 1:1	POSTEXILIO	redacción	Ageo	368
zacarias_completa_libro		-518	Zacarías completa el libro de Zacarías	Zac. 1:1	POSTEXILIO	redacción	Zacarías	367
segundo_templo_completado		-515	Zorobabel completa el segundo templo	Esd. 6:14, 15	POSTEXILIO	construcción	Zorobabel	86
ester_libro_completado	c	-475	Mardoqueo completa el libro de Ester	Est. 3:7; 9:32	POSTEXILIO	redacción	Mardoqueo, Ester	90
esdras_regresa_jerusalen		-468	Esdras y sacerdotes regresan a Jerusalén	Esd. 7:7	POSTEXILIO	retorno	Esdras	87
esdras_cronicas_salmos	c	-460	Esdras completa los libros de 1 y 2 Crónicas y Esdras; compilación final de los Salmos	Esd. 1:1; 2 Cró. 36:22	POSTEXILIO	redacción	Esdras	370
nehemias_muros_jerusalen		-455	Nehemías reedifica los muros de Jerusalén; empieza a cumplirse la profecía de las 70 semanas	Neh. 1:1; 2:1; Ne 2:11; Ne 6:15; Dan. 9:24	POSTEXILIO	reconstrucción	Nehemías	88
nehemias_completa_libro	d	-443	Nehemías completa el libro de Nehemías	Neh. 5:14	POSTEXILIO	redacción	Nehemías	371
malaquias_completa_libro	d	-443	Malaquías completa el libro de Malaquías	Mal. 1:1	POSTEXILIO	redacción	Malaquías	372
reedificacion_jerusalen_completa		-406	Evidentemente se completa la reedificación de Jerusalén	Dan. 9:25	INTERTESTAMENTAL	reconstrucción	Jerusalén	
grecia_quinta_potencia		-332	Grecia, quinta potencia mundial, gobierna a Judea	Dan. 8:21	INTERTESTAMENTAL	contexto	Grecia	
septuaginta_inicio	c	-280	Se comienza la Septuaginta (Versión de los Setenta) griega		INTERTESTAMENTAL	traducción		
dedicacion_templo_165		-165	El templo dedicado de nuevo después de profanación por idolatría griega; fiesta de la Dedicación	Juan 10:22	INTERTESTAMENTAL	dedicación	Macabeos	
roma_sexta_potencia		-63	Roma, sexta potencia mundial, gobierna a Jerusalén	Juan 19:15; Rev. 17:10	INTERTESTAMENTAL	contexto	Roma	
herodes_toma_jerusalen	c	-37	Herodes (rey nombrado por Roma) toma Jerusalén por asalto		INTERTESTAMENTAL	conquista	Herodes	
nacimiento_juan_jesus		-2	Nacen Juan el Bautizante y Jesús	Luc. 1:60; 2:7	E.C.	nacimiento	Juan el Bautista, Jesús	108
juan_jesus_inician_ministerio		29	Juan y Jesús empiezan sus ministerios	Luc. 3:1, 2; Lu 3:23	E.C.	ministerio	Juan el Bautista, Jesús	111
jesus_sacrificio_14_nisan		33	14 de Nisán: Jesús se da en sacrificio y suministra la base para el nuevo pacto; fijado en el madero	Luc. 22:20; 23:33	E.C.	sacrificio	Jesús	131
resurreccion_jesus_16_nisan		33	16 de Nisán: la resurrección de Jesús	Mat. 28:1-10	E.C.	resurrección	Jesús	132
pentecostes_33		33	6 de Siván, Pentecostés: derramamiento de espíritu; Pedro abre a los judíos el camino a la congregación cristiana	Hech. 2:1-17; Hch 2:38	E.C.	adoración	Pedro, apóstoles	134
cornelio_36		36	Fin de las 70 semanas de años; Pedro visita a Cornelio, el primero de la gente incircuncisa de las naciones que entra en la congregación cristiana	Dan. 9:24-27; Hech. 10:1, 45	E.C.	predicación	Pedro, Cornelio	140
mateo_escribe_evangelio	c	41	Mateo escribe el Evangelio llamado 'Mateo'		E.C.	redacción/evangelio	Mateo	403
pablo_primera_gira	c	47	Pablo empieza su primera gira misional	Hech. 13:1–14:28	E.C.	misión	Pablo	142
concilio_jerusalen_49	c	49	Cuerpo gobernante decide contra exigir la circuncisión de los creyentes de las naciones	Hech. 15:28; Hch 15:29	E.C.	decisión	apóstoles, Pablo	
pablo_segunda_gira	c	49	Segunda gira misional de Pablo	Hech. 15:36–18:22	E.C.	misión	Pablo	144
pablo_1_tesalonicenses	c	50	Pablo escribe 1 Tesalonicenses desde Corinto	1 Tes. 1:1	E.C.	redacción/epístola	Pablo	163
pablo_2_tesalonicenses	c	51	Pablo escribe 2 Tesalonicenses desde Corinto	2 Tes. 1:1	E.C.	redacción/epístola	Pablo	168
pablo_galatas	c	51	Pablo escribe su carta a los gálatas desde Corinto o Antioquía de Siria	Gál. 1:1	E.C.	redacción/epístola	Pablo	178
pablo_tercera_gira	c	52	Tercera gira misional de Pablo	Hech. 18:23–21:19	E.C.	misión	Pablo	146
pablo_1_2_corintios	c	55	Pablo escribe 1 Corintios desde Éfeso, y 2 Corintios desde Macedonia	1 Cor. 15:32; 2 Cor. 2:12, 13	E.C.	redacción/epístola	Pablo	160
pablo_romanos	c	56	Pablo escribe la carta a los romanos desde Corinto	Rom. 16:1	E.C.	redacción/epístola	Pablo	189
lucas_evangelio	c	57	Lucas escribe el Evangelio llamado 'Lucas'	Luc. 1:1, 2	E.C.	redacción/evangelio	Lucas	194
pablo_cartas_desde_roma	c	60	Desde Roma Pablo escribe: Efesios, Filipenses, Colosenses y Filemón	Efe. 3:1; Fili. 4:22; Col. 4:18; Filem. 1	E.C.	redacción/epístola	Pablo	175
pablo_hebreos	c	61	Pablo escribe la carta a los hebreos desde Roma	Heb. 13:24; Heb. 10:34	E.C.	redacción/epístola	Pablo	180
lucas_hechos_roma	c	61	Lucas completa el libro de Hechos en Roma	Hech. 28:31	E.C.	redacción	Lucas	198
santiago_carta	a	62	Santiago, hermano de Jesús, escribe la carta llamada 'Santiago' desde Jerusalén	Sant. 1:1	E.C.	redacción/epístola	Santiago	190
marcos_evangelio	c	62	Marcos escribe el Evangelio llamado 'Marcos'		E.C.	redacción/evangelio	Marcos	386
pablo_1_timoteo	c	62	Pablo escribe 1 Timoteo desde Macedonia	1 Tim. 1:3	E.C.	redacción/epístola	Pablo	164
pablo_tito	c	62	Pablo escribe Tito desde Macedonia (?)	Tito 1:5	E.C.	redacción/epístola	Pablo	192
pedro_1_carta	c	63	Pedro escribe 1 Pedro desde Babilonia	1 Ped. 1:1; 1Pe 5:13	E.C.	redacción/epístola	Pedro	162
