tipo,nombre_base,variantes,apariciones,problema,categoria,fuente
persona,MANASÉS,Manasés | MANASÉS | MANASES,20,sin_tilde,DOCTRINA; EDAD; LECCION; LUGAR; NUMERO; OTRO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Tabita,Tabita,20,,FECHA; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Ana,Ana | ANA,19,,EDAD; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,La congregación,La congregación,19,,LUGAR; NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Rebeca,Rebeca,19,,DOCTRINA; Después del Diluvio; LECCION; LUGAR; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Adán,ADAN | ADÁN | Adán,18,sin_tilde,Antes del Diluvio; EDAD; FECHA; NOMBRE; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Diablo,Diablo | DIABLO,18,,NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,La viuda de Sarepta,La viuda de Sarepta,18,,DOCTRINA; LECCION; LUGAR; NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Sanedrín,Sanedrín,18,,FECHA; LUGAR; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Sara,Sara | SARA,18,,Después del Diluvio; EDAD; LECCION; LUGAR; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Judas Iscariote,Judas Iscariote,17,,MONEDA; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,NATAN,Natán | NATAN | NATÁN,17,sin_tilde,DOCTRINA; LECCION; NOMBRE; OTRO; SUCESO; Un solo reino,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,BELSASAR,Belsasar | BELSASAR,16,,NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,ELÍ,ELÍ | Elí,16,,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Barac,Barac,15,,LECCION; LUGAR; NOMBRE; NUMERO; OTRO; SUCESO; Época de los jueces,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,ENOC,Enoc | ENOC,15,,Antes del Diluvio; DOCTRINA; LECCION; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,la multitud,la multitud | La multitud,15,,LUGAR; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Lot,Lot | LOT,15,,LUGAR; NUMERO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Nicodemo,Nicodemo | NICODEMO,15,,FECHA; MEDIDA; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Herodes Antipas,Herodes Antipas | HERODES ANTIPAS,14,,FECHA; LUGAR; NOMBRE; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Isaac,Isaac,14,,Después del Diluvio; EDAD; LUGAR; NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Mardoqueo,Mardoqueo,14,,LECCION; LUGAR; NOMBRE; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Salomé,SALOME | Salomé,14,sin_tilde,NOMBRE; PARENTESCO; SUCESO,preguntas.personaje
persona,Hermanos,Hermanos,13,,FECHA; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Marta,Marta,13,,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Nerón,Nerón,13,,FECHA; NOMBRE; SUCESO,preguntas.personaje
persona,Boaz,Boaz,12,,NOMBRE; PARENTESCO; SUCESO,preguntas.personaje
persona,Faraón,Faraón,12,,NOMBRE; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,GABRIEL,GABRIEL,12,,DOCTRINA; FECHA; NOMBRE; NUMERO; SUCESO,preguntas.personaje
persona,Soldados,Soldados | soldados,12,,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,CAÍN,CAÍN | Caín,11,,LUGAR; NOMBRE; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,CIRO,Ciro | CIRO,11,,FECHA; LUGAR; NOMBRE; NUMERO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Claudio,Claudio | CLAUDIO,11,,FECHA; NOMBRE; NUMERO; SUCESO,preguntas.personaje
persona,Esaú,Esaú | ESAU,11,sin_tilde,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Eutico,EUTICO | Eutico,11,,EDAD; LUGAR; NOMBRE; NUMERO; SUCESO,preguntas.personaje
persona,leprosos,Leprosos | leprosos,11,,NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Los tres hebreos,Los tres hebreos,11,,DOCTRINA; LECCION; LUGAR; NOMBRE; SUCESO,preguntas.personaje
persona,Lázaro,Lázaro,11,,NOMBRE; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Mendigo,Mendigo,11,,OTRO; SUCESO,preguntas.personaje
persona,AARON,Aarón | AARON,10,sin_tilde,Después del Diluvio; NOMBRE; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Apolos,Apolos,10,,LUGAR; NOMBRE; SUCESO,preguntas.personaje
persona,Darío,Darío,10,,FECHA; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Dios,Dios,10,,FECHA; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Egipcios,Egipcios,10,,NUMERO; OTRO; SUCESO,preguntas.personaje
persona,El hijo menor,El hijo menor,10,,LUGAR; OTRO; SUCESO,preguntas.personaje
persona,La gente,La gente | la gente,10,,OTRO; SUCESO,preguntas.personaje
persona,Líderes religiosos,Líderes religiosos,10,,NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Noemí,Noemí,10,,LUGAR; NUMERO; PARENTESCO; SUCESO; Época de los jueces,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Andrés,ANDRES | Andrés,9,sin_tilde,NOMBRE; NUMERO; OTRO; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Asuero,Asuero,9,,NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Claudio Lisias,Claudio Lisias,9,,NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Hombres del Oriente,Hombres del Oriente,9,,LUGAR; OTRO; SUCESO,preguntas.personaje
persona,JosuÃ©,JosuÃ©,9,mojibake,EDAD; LUGAR; NUMERO; SUCESO,preguntas.personaje
persona,Las vírgenes,Las vírgenes,9,,OTRO; SUCESO,preguntas.personaje
persona,mujer,MUJER | mujer,9,,NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Multitud,Multitud,9,,LUGAR; NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,samaritana,samaritana,9,,LUGAR; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Sísara,Sísara,9,,FECHA; LUGAR; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Testigos,Testigos,9,,NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Tértulo,Tértulo,9,,NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Ártemis,Ártemis,9,,MEDIDA; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,ASTROLOGOS,ASTROLOGOS,8,,LUGAR; OTRO; SUCESO,preguntas.personaje
persona,Centurión,Centurión,8,,OTRO; SUCESO,preguntas.personaje
persona,Congregación,Congregación | CONGREGACION,8,sin_tilde,LUGAR; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,El hombre endemoniado,El hombre endemoniado,8,,LUGAR; NUMERO; SUCESO,preguntas.personaje
persona,Eva,Eva,8,,NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Filemón y Baucis,Filemón y Baucis,8,,EDAD; NOMBRE; PARENTESCO; SUCESO,preguntas.personaje
persona,Hamán,Hamán,8,,NOMBRE; NUMERO; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,La mujer,la mujer | La mujer,8,,MONEDA; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Los siete,Los siete,8,,NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Pastores,Pastores,8,,LUGAR; OTRO; SUCESO,preguntas.personaje
persona,Sumo sacerdote,Sumo sacerdote,8,,NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Tomás,Tomás,8,,NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Ágabo,Ágabo | ÁGABO,8,,NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Áquila y Priscila,Áquila y Priscila,8,,LUGAR; NOMBRE; PARENTESCO; SUCESO,preguntas.personaje
persona,ACAB,Acab | ACAB,7,,NOMBRE; NUMERO; PARENTESCO; Reyes de Israel; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Ancianos,Ancianos,7,,OTRO; SUCESO,preguntas.personaje
persona,Balaam,Balaam,7,,LUGAR; NUMERO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,El experto en la Ley,El experto en la Ley,7,,NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,El padre,El padre,7,,OTRO; SUCESO,preguntas.personaje
persona,Epicúreos,Epicúreos,7,,OTRO; SUCESO,preguntas.personaje
persona,Esceva,Esceva,7,,NOMBRE; NUMERO; PARENTESCO; SUCESO,preguntas.personaje
persona,Galión,Galión,7,,NOMBRE; PARENTESCO; SUCESO,preguntas.personaje
persona,Jairo,Jairo,7,,LUGAR; NOMBRE; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,La mujer con hemorragias,La mujer con hemorragias,7,,EDAD; OTRO; SUCESO,preguntas.personaje
persona,Los 70 discípulos,Los 70 discípulos,7,,NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Mujeres,Mujeres,7,,OTRO; SUCESO,preguntas.personaje
persona,Ovidio,Ovidio,7,,FECHA; LUGAR; NOMBRE; NUMERO; PARENTESCO,preguntas.personaje
persona,Phyllis,Phyllis,7,,LUGAR; NUMERO; OTRO; PARENTESCO; SUCESO,preguntas.personaje
persona,Sem,Sem,7,,Antes del Diluvio; EDAD; NOMBRE; NUMERO; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,AarÃ³n,AarÃ³n,6,mojibake,NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,ABEL,ABEL | Abel,6,,NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Anás,Anás,6,,NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,bereanos,bereanos,6,,NUMERO; SUCESO,preguntas.personaje
persona,Demetrio,Demetrio,6,,NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Débora,Débora,6,,NOMBRE; NUMERO; SUCESO; Época de los jueces,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,El samaritano,El samaritano,6,,MONEDA; NOMBRE; SUCESO,preguntas.personaje
persona,esclavo,esclavo,6,,MONEDA; OTRO; SUCESO,preguntas.personaje
persona,Espíritu santo,Espíritu santo,6,,OTRO; SUCESO,preguntas.personaje
persona,Herodías,Herodías | HERODIAS,6,sin_tilde,NOMBRE; PARENTESCO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,JEHU,Jehú | JEHU,6,sin_tilde,NOMBRE; NUMERO; PARENTESCO; Reyes de Israel; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,José de Arimatea,José de Arimatea,6,,LUGAR; NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,La niña israelita,La niña israelita,6,,LECCION; LUGAR; NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,magistrados,magistrados,6,,OTRO; SUCESO,preguntas.personaje
persona,MELQUISEDEC,MELQUISEDEC | Melquisedec,6,,LUGAR; NOMBRE; OTRO,hechos_biblicos.csv; preguntas.personaje
persona,Minos Kokkinakis,Minos Kokkinakis,6,,FECHA; LUGAR; NOMBRE; NUMERO,preguntas.personaje
persona,MoisÃ©s,MoisÃ©s,6,mojibake,EDAD; LUGAR; NUMERO; SUCESO,preguntas.personaje
persona,REHOBOAM,Rehoboam | REHOBOAM,6,,FECHA; NOMBRE; NUMERO; Reyes de Judá; SUCESO,personajes_biblicos.csv; preguntas.personaje
persona,Satanás,SATANAS | Satanás,6,sin_tilde,NOMBRE; OTRO; SUCESO,hechos_biblicos.csv; preguntas.personaje
persona,Siberia,Siberia,6,,FECHA; LUGAR; MEDIDA; OTRO; SUCESO,preguntas.personaje
persona,Testigos de Jehová,Testigos de Jehová,6,,FECHA; LUGAR; OTRO; SUCESO,preguntas.personaje
persona,VARIOS,VARIOS,6,,FECHA; NOMBRE; OTRO,preguntas.personaje
persona,Ángel,Ángel,6,,LUGAR; OTRO; SUCESO,preguntas.personaje
persona,Ángeles,Ángeles | ÁNGELES,6,,LUGAR; NOMBRE; NUMERO; OTRO; SUCESO,preguntas.personaje
persona,ATALÍA,Atalía | ATALIA | ATALÍA,5,sin_tilde,NOMBRE; NUMERO; PARENTESCO; Reyes de Judá; SUCESO,hechos_biblicos.csv; personajes_biblicos.csv; preguntas.personaje
persona,Calígula,Calígula,5,,FECHA; NOMBRE; SUCESO,preguntas.personaje
persona,Domiciano,Domiciano,5,,FECHA; NOMBRE; OTRO; PARENTESCO,preguntas.personaje
persona,DÃ©bora,DÃ©bora,5,mojibake,LUGAR; OTRO; SUCESO,preguntas.personaje
persona,El hijo mayor,El hijo mayor,5,,OTRO; SUCESO,preguntas.personaje
persona,El pastor,El pastor,5,,NUMERO; OTRO; SUCESO,preguntas.personaje
persona,Henryk Dornik,Henryk Dornik,5,,FECHA; LUGAR; NOMBRE; SUCESO,preguntas.personaje
persona,Herodes el Grande,Herodes el Grande,5,,LUGAR; NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Julio,Julio,5,,SUCESO,preguntas.personaje
persona,Los ciegos,Los ciegos,5,,NOMBRE; NUMERO; PARENTESCO; SUCESO,preguntas.personaje
persona,Los demonios,Los demonios,5,,NOMBRE; NUMERO; SUCESO,preguntas.personaje
persona,LUGAR,LUGAR,5,,LUGAR,preguntas.personaje
persona,MATÍAS,Matías | MATÍAS,5,,NOMBRE; NUMERO,preguntas.personaje
persona,NATANAEL,NATANAEL,5,,LUGAR; NOMBRE; NUMERO; SUCESO,preguntas.personaje
persona,OCEZIAS,OCEZIAS,5,,LUGAR; NOMBRE; NUMERO; PARENTESCO,preguntas.personaje
persona,Plinio,Plinio,5,,FECHA; NOMBRE; OTRO; SUCESO,preguntas.personaje
persona,Pompeyo,Pompeyo,5,,FECHA; OTRO; SUCESO,preguntas.personaje
